Designator,Mid X,Mid Y,Rotation,Layer
F3,42.4,-157.25,90.0,bottom
F4,46.0,-102.495,270.0,top
F5,42.35,-149.0,90.0,bottom
F6,42.35,-140.95,90.0,bottom
F7,101.399962,-148.5,0.0,top
F8,101.499962,-97.4,0.0,top
F9,101.499962,-122.825,0.0,top
J10,133.8,-160.5,90.0,top
J11,133.9,-109.4,90.0,top
J12,133.9,-134.825,90.0,top
J3,46.0,-166.5,180.0,top
J4,46.0,-157.5,180.0,top
J5,46.0,-149.25,180.0,top
J6,46.0,-141.25,180.0,top
J7,50.5,-77.5,180.0,top
J8,133.95,-85.75,90.0,top
J9,68.15,-133.15,270.0,top
L4,115.425,-80.75,0.0,top
L5,115.275,-155.5,0.0,top
L6,115.375,-104.4,0.0,top
L7,115.375,-129.825,0.0,top
Q10,102.134962,-112.2,90.0,top
Q11,101.864962,-128.6,90.0,top
Q12,102.134962,-137.625,90.0,top
Q4,55.0,-109.4,0.0,top
Q5,102.184962,-88.55,90.0,top
Q6,101.914962,-79.525,90.0,top
Q7,101.764962,-154.275,90.0,top
Q8,102.034962,-163.3,90.0,top
Q9,101.864962,-103.175,90.0,top
R11,52.75,-153.5,180.0,top
R12,52.25,-124.25,180.0,top
R13,52.75,-158.75,0.0,top
R14,45.65,-158.75,0.0,bottom
R15,52.75,-145.5,180.0,top
R16,52.75,-150.25,0.0,top
R17,45.65,-150.5,0.0,bottom
R18,52.75,-137.5,180.0,top
R19,52.75,-142.0,0.0,top
R20,45.7,-142.45,0.0,bottom
R21,60.1,-160.8,0.0,bottom
R22,60.1,-158.6,0.0,bottom
R23,88.725,-79.685,0.0,top
R24,107.95,-75.2,180.0,top
R25,107.6,-89.25,270.0,top
R26,109.45,-89.25,270.0,top
R27,75.4,-154.3,0.0,top
R28,77.7,-160.85,90.0,top
R29,62.2,-162.3,90.0,top
R30,106.549962,-78.75,270.0,top
R31,61.55,-154.6,180.0,top
R32,120.95,-85.95,0.0,top
R33,123.375,-80.75,0.0,top
R34,121.4,-73.65,0.0,bottom
R35,62.5875,-127.0,0.0,top
R36,83.45,-85.0,90.0,top
R37,85.3,-86.3,90.0,top
R38,62.5875,-129.0,0.0,top
R39,129.35,-72.65,0.0,top
R40,83.3,-159.75,90.0,top
R41,85.15,-161.05,90.0,top
R42,88.575,-154.435,0.0,top
R43,106.399962,-149.5,270.0,top
R44,107.45,-164.0,270.0,top
R45,109.3,-164.0,270.0,top
R46,106.399962,-153.5,270.0,top
R47,120.8,-160.7,0.0,top
R48,59.5,-132.85,180.0,bottom
R49,59.5,-130.95,180.0,bottom
R50,59.5,-129.05,180.0,bottom
R51,59.5,-136.55,180.0,bottom
R52,133.55,-149.2,180.0,top
R53,59.5,-138.45,180.0,bottom
R54,59.4875,-134.7,180.0,bottom
R55,123.225,-155.5,0.0,top
R56,121.25,-148.4,0.0,bottom
R57,83.4,-108.65,90.0,top
R58,85.25,-109.95,90.0,top
R59,88.675,-103.335,0.0,top
R6,52.75,-162.5,180.0,top
R60,106.499962,-98.4,270.0,top
R61,107.55,-112.9,270.0,top
R62,109.4,-112.9,270.0,top
R63,106.499962,-102.4,270.0,top
R64,120.9,-109.6,0.0,top
R65,133.65,-98.1,180.0,top
R66,123.325,-104.4,0.0,top
R67,121.35,-97.3,0.0,bottom
R68,83.4,-134.075,90.0,top
R69,85.25,-135.375,90.0,top
R7,52.75,-167.75,0.0,top
R70,88.675,-128.76,0.0,top
R71,106.499962,-123.825,270.0,top
R72,107.55,-138.325,270.0,top
R73,109.4,-138.325,270.0,top
R74,106.499962,-127.825,270.0,top
R75,120.9,-135.025,0.0,top
R76,133.65,-123.525,180.0,top
R77,123.325,-129.825,0.0,top
R78,121.35,-122.725,0.0,bottom
R8,45.6875,-167.75,0.0,bottom
R84,61.55,-152.9,180.0,top
R85,66.7,-151.15,0.0,top
R86,61.55,-151.15,180.0,top
R87,66.7,-152.9,0.0,top
R9,59.5,-140.9,0.0,bottom
SW1,46.0,-131.25,180.0,top
U1,57.5,-125.9,270.0,top
U10,123.3,-151.0,180.0,top
U11,123.4,-99.9,180.0,top
U12,123.4,-125.325,180.0,top
U2,63.0,-151.85,180.0,bottom
U3,90.65,-84.65,270.0,top
U4,90.5,-159.4,270.0,top
U5,90.6,-108.3,270.0,top
U6,90.6,-133.725,270.0,top
U7,123.45,-76.25,180.0,top
U8,68.35,-167.25,0.0,top
U9,68.35,-157.5,0.0,top
Y1,59.425,-143.625,0.0,bottom
